"id","ownerid","ageclassid","sexid","kreisid","quartierid"
43801,18020,3,1,9,"92"
52305,18020,3,1,9,"92"
202,18360,6,2,3,"31"
7116,18360,6,2,3,"31"
13999,18360,6,2,3,"31"
21105,18360,6,2,3,"31"
28447,18360,6,2,3,"31"
36035,18360,6,2,3,"31"
43803,18360,6,2,3,"31"
52307,18360,6,2,3,"31"
203,18805,6,2,6,"63"
7117,18805,6,2,6,"63"
14002,18805,6,2,6,"63"
21108,18805,6,2,6,"63"
204,19004,3,1,5,"52"
7118,19004,3,1,5,"52"
14003,19004,3,1,5,"52"
21109,19004,3,1,5,"52"
28450,19004,3,1,5,"52"
36038,19004,3,1,5,"52"
43806,19004,3,1,5,"52"
52310,19004,3,1,5,"52"
205,19141,10,1,4,"42"
7119,19141,10,1,4,"42"
14004,19141,10,1,4,"42"
206,19652,3,2,2,"24"
7120,19652,3,2,2,"24"
14006,19652,3,2,2,"24"
21111,19652,3,2,2,"24"
28452,19652,3,2,2,"24"
36040,19652,3,2,2,"24"
43810,19652,3,2,2,"24"
207,19839,3,1,2,"23"
7121,19839,3,1,2,"23"
14007,19839,3,1,2,"23"
21112,19839,3,1,2,"23"
28453,19839,3,1,2,"23"
208,20016,7,1,6,"63"
7122,20016,7,1,6,"63"
209,20205,7,1,7,"73"
210,20483,10,1,12,"121"
7123,20483,10,1,12,"121"
14011,20483,10,1,12,"121"
21114,20483,10,1,12,"121"
211,20510,6,1,9,"91"
7124,20510,6,1,9,"91"
14012,20510,6,1,9,"91"
21115,20510,6,1,9,"91"
212,20580,6,1,4,"44"
36,20762,3,1,4,"42"
213,20762,3,1,4,"42"
21116,20762,3,1,4,"42"
28455,20762,3,1,4,"42"
36043,20762,3,1,4,"42"
59700,20762,3,1,4,"42"
214,21270,6,1,8,"81"
7126,21270,6,1,8,"81"
14015,21270,6,1,8,"81"
215,21393,3,1,7,"73"
7127,21393,3,1,7,"73"
14016,21393,3,1,7,"73"
21119,21393,3,1,7,"73"
28458,21393,3,1,7,"73"
216,21828,5,2,7,"74"
7128,21828,5,2,7,"74"
14017,21828,5,2,7,"74"
21120,21828,5,2,7,"74"
28459,21828,5,2,7,"74"
36047,21828,5,2,7,"74"
43816,21828,5,2,7,"74"
52320,21828,5,2,7,"74"
217,21865,10,1,6,"61"
7129,21865,10,1,6,"61"
14018,21865,10,1,6,"61"
21121,21865,10,1,6,"61"
28460,21865,10,1,6,"61"
36048,21865,10,1,6,"61"
43818,21865,10,1,6,"61"
52322,21865,10,1,6,"61"
218,22186,6,1,8,"82"
7130,22186,6,1,8,"82"
14019,22186,6,1,8,"82"
21122,22186,6,1,8,"82"
28461,22186,6,1,8,"82"
36049,22186,6,1,8,"82"
43819,22186,6,1,8,"82"
52323,22186,6,1,8,"82"
219,22378,3,1,7,"72"
7131,22378,3,1,7,"72"
14020,22378,3,1,7,"72"
21123,22378,3,1,7,"72"
28462,22378,3,1,7,"72"
36050,22378,3,1,7,"72"
43820,22378,3,1,7,"72"
52324,22378,3,1,7,"72"
220,22479,3,1,7,"72"
7132,22479,3,1,7,"72"
14021,22479,3,1,7,"72"
51,22950,3,2,11,"119"
221,22950,3,2,11,"119"
7133,22950,3,2,11,"119"
